Product code,Bureau of Meteorology station number,Date,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,86232,1/5/2014,0,,Y
IDCJAC0009,86232,2/5/2014,0,,Y
IDCJAC0009,86232,3/5/2014,2.6,1,Y
IDCJAC0009,86232,4/5/2014,7,1,Y
IDCJAC0009,86232,5/5/2014,1.4,1,Y
IDCJAC0009,86232,6/5/2014,0.8,1,Y
IDCJAC0009,86232,7/5/2014,2,1,Y
IDCJAC0009,86232,8/5/2014,0,,Y
IDCJAC0009,86232,9/5/2014,0,,Y
IDCJAC0009,86232,10/5/2014,12.4,1,Y
IDCJAC0009,86232,11/5/2014,2.8,1,Y
IDCJAC0009,86232,12/5/2014,0,,Y
IDCJAC0009,86232,13/5/2014,0,,Y
IDCJAC0009,86232,14/5/2014,0,,Y
IDCJAC0009,86232,15/5/2014,0,,Y
IDCJAC0009,86232,16/5/2014,0,,Y
IDCJAC0009,86232,17/5/2014,0,,Y
IDCJAC0009,86232,18/5/2014,0.2,1,Y
IDCJAC0009,86232,19/5/2014,0,,Y
IDCJAC0009,86232,20/5/2014,0.6,1,Y
IDCJAC0009,86232,21/5/2014,0.4,1,Y
IDCJAC0009,86232,22/5/2014,0,,Y
IDCJAC0009,86232,23/5/2014,8.2,1,Y
IDCJAC0009,86232,24/5/2014,0.2,1,Y
IDCJAC0009,86232,25/5/2014,0.8,1,Y
IDCJAC0009,86232,26/5/2014,0.2,1,Y
IDCJAC0009,86232,27/5/2014,0,,Y
IDCJAC0009,86232,28/5/2014,1.4,1,Y
IDCJAC0009,86232,29/5/2014,0,,Y
IDCJAC0009,86232,30/5/2014,0,,Y
IDCJAC0009,86232,31/5/2014,0,,Y
IDCJAC0009,86232,1/6/2014,4.8,1,Y
IDCJAC0009,86232,2/6/2014,3.8,1,Y
IDCJAC0009,86232,3/6/2014,3.2,1,Y
IDCJAC0009,86232,4/6/2014,1.2,1,Y
IDCJAC0009,86232,5/6/2014,4.8,1,Y
IDCJAC0009,86232,6/6/2014,2.2,1,Y
IDCJAC0009,86232,7/6/2014,0.6,1,Y
IDCJAC0009,86232,8/6/2014,0.8,1,Y
IDCJAC0009,86232,9/6/2014,0,,Y
